name,party
金成泰,자유한국당
강길부,무소속
강병원,더불어민주당
강석진,자유한국당
강석호,자유한국당
강창일,더불어민주당
강효상,자유한국당
강훈식,더불어민주당
경대수,자유한국당
고용진,더불어민주당
곽대훈,자유한국당
곽상도,자유한국당
권미혁,더불어민주당
권석창,자유한국당
권성동,자유한국당
권은희,바른미래당
권칠승,더불어민주당
금태섭,더불어민주당
기동민,더불어민주당
김경수,더불어민주당
김경진,민주평화당
김경협,더불어민주당
김관영,바른미래당
김광림,자유한국당
김광수,민주평화당
김규환,자유한국당
김기선,자유한국당
김도읍,자유한국당
김동철,바른미래당
김두관,더불어민주당
김명연,자유한국당
김무성,자유한국당
김민기,더불어민주당
김병관,더불어민주당
김병기,더불어민주당
김병욱,더불어민주당
김부겸,더불어민주당
김삼화,바른미래당
김상훈,자유한국당
김상희,더불어민주당
김석기,자유한국당
김선동,자유한국당
김성수,더불어민주당
김성식,바른미래당
김성원,자유한국당
김성찬,자유한국당
김성태,자유한국당
김세연,자유한국당
김수민,바른미래당
김순례,자유한국당
김승희,자유한국당
김영우,자유한국당
김영주,더불어민주당
김영진,더불어민주당
김영춘,더불어민주당
김영호,더불어민주당
김용태,자유한국당
김재경,자유한국당
김재원,자유한국당
김정우,더불어민주당
김정재,자유한국당
김정훈,자유한국당
김종대,정의당
김종민,더불어민주당
김종석,자유한국당
김종인,더불어민주당
김종태,새누리당
김종회,민주평화당
김종훈,민중당
김중로,바른미래당
김진태,자유한국당
김진표,더불어민주당
김철민,더불어민주당
김태년,더불어민주당
김태흠,자유한국당
김학용,자유한국당
김한정,더불어민주당
김한표,자유한국당
김해영,더불어민주당
김현권,더불어민주당
김현미,더불어민주당
김현아,자유한국당
나경원,자유한국당
남인순,더불어민주당
노웅래,더불어민주당
노회찬,정의당
도종환,더불어민주당
문미옥,더불어민주당
문진국,자유한국당
문희상,더불어민주당
민경욱,자유한국당
민병두,더불어민주당
민홍철,더불어민주당
박경미,더불어민주당
박광온,더불어민주당
박남춘,더불어민주당
박대출,자유한국당
박덕흠,자유한국당
박맹우,자유한국당
박명재,자유한국당
박범계,더불어민주당
박병석,더불어민주당
박선숙,바른미래당
박성중,자유한국당
박순자,자유한국당
박영선,더불어민주당
박완수,자유한국당
박완주,더불어민주당
박용진,더불어민주당
박인숙,자유한국당
박재호,더불어민주당
박정,더불어민주당
박주민,더불어민주당
박주선,바른미래당
박주현,바른미래당
박준영,민주평화당
박지원,민주평화당
박찬대,더불어민주당
박찬우,자유한국당
박홍근,더불어민주당
배덕광,자유한국당
백승주,자유한국당
백재현,더불어민주당
백혜련,더불어민주당
변재일,더불어민주당
서영교,더불어민주당
서청원,자유한국당
서형수,더불어민주당
설훈,더불어민주당
성일종,자유한국당
소병훈,더불어민주당
손금주,무소속
손혜원,더불어민주당
송기석,국민의당
송기헌,더불어민주당
송석준,자유한국당
송영길,더불어민주당
송옥주,더불어민주당
송희경,자유한국당
신경민,더불어민주당
신동근,더불어민주당
신보라,자유한국당
신상진,자유한국당
신용현,바른미래당
신창현,더불어민주당
심기준,더불어민주당
심상정,정의당
심재권,더불어민주당
심재철,자유한국당
안규백,더불어민주당
안민석,더불어민주당
안상수,자유한국당
안철수,국민의당
안호영,더불어민주당
양승조,더불어민주당
어기구,더불어민주당
엄용수,자유한국당
여상규,자유한국당
염동열,자유한국당
오세정,바른미래당
오신환,바른미래당
오영훈,더불어민주당
오제세,더불어민주당
우상호,더불어민주당
우원식,더불어민주당
원유철,자유한국당
원혜영,더불어민주당
위성곤,더불어민주당
유기준,자유한국당
유동수,더불어민주당
유민봉,자유한국당
유성엽,민주평화당
유승민,바른미래당
유승희,더불어민주당
유은혜,더불어민주당
유의동,바른미래당
유재중,자유한국당
윤관석,더불어민주당
윤상직,자유한국당
윤상현,자유한국당
윤소하,정의당
윤영석,자유한국당
윤영일,민주평화당
윤재옥,자유한국당
윤종오,민중당
윤종필,자유한국당
윤한홍,자유한국당
윤호중,더불어민주당
윤후덕,더불어민주당
이개호,더불어민주당
이군현,자유한국당
이동섭,바른미래당
이만희,자유한국당
이명수,자유한국당
이상돈,바른미래당
이상민,더불어민주당
이석현,더불어민주당
이수혁,더불어민주당
이양수,자유한국당
이언주,바른미래당
이완영,자유한국당
이용득,더불어민주당
이용주,민주평화당
이용호,무소속
이우현,자유한국당
이원욱,더불어민주당
이은권,자유한국당
이은재,자유한국당
이인영,더불어민주당
이장우,자유한국당
이재정,더불어민주당
이정미,정의당
이정현,무소속
이종걸,더불어민주당
이종구,자유한국당
이종명,자유한국당
이종배,자유한국당
이주영,자유한국당
이진복,자유한국당
이찬열,바른미래당
이채익,자유한국당
이철규,자유한국당
이철우,자유한국당
이철희,더불어민주당
이춘석,더불어민주당
이태규,바른미래당
이학영,더불어민주당
이학재,바른미래당
이해찬,더불어민주당
이헌승,자유한국당
이현재,자유한국당
이혜훈,바른미래당
이훈,더불어민주당
인재근,더불어민주당
임이자,자유한국당
임종성,더불어민주당
장병완,민주평화당
장석춘,자유한국당
장정숙,바른미래당
장제원,자유한국당
전재수,더불어민주당
전해철,더불어민주당
전현희,더불어민주당
전혜숙,더불어민주당
전희경,자유한국당
정갑윤,자유한국당
정동영,민주평화당
정병국,바른미래당
정성호,더불어민주당
정세균,무소속
정양석,자유한국당
정용기,자유한국당
정우택,자유한국당
정운천,바른미래당
정유섭,자유한국당
정인화,민주평화당
정재호,더불어민주당
정종섭,자유한국당
정진석,자유한국당
정춘숙,더불어민주당
정태옥,자유한국당
제윤경,더불어민주당
조경태,자유한국당
조배숙,민주평화당
조승래,더불어민주당
조원진,대한애국당
조응천,더불어민주당
조정식,더불어민주당
조훈현,자유한국당
주광덕,자유한국당
주승용,바른미래당
주호영,자유한국당
지상욱,바른미래당
진선미,더불어민주당
진영,더불어민주당
채이배,바른미래당
천정배,민주평화당
최경환(평),민주평화당
최경환(한),자유한국당
최교일,자유한국당
최도자,바른미래당
최명길,국민의당
최연혜,자유한국당
최운열,더불어민주당
최인호,더불어민주당
추경호,자유한국당
추미애,더불어민주당
추혜선,정의당
표창원,더불어민주당
하태경,바른미래당
한선교,자유한국당
한정애,더불어민주당
함진규,자유한국당
홍문종,자유한국당
홍문표,자유한국당
홍영표,더불어민주당
홍의락,더불어민주당
홍익표,더불어민주당
홍일표,자유한국당
홍철호,자유한국당
황영철,자유한국당
황주홍,민주평화당
황희,더불어민주당
